feature,importance
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_ROS (daily)_lag_3,1.0393599716105032e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_CPLV/DTT (daily)_lag_7,1.0376158147948025e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_ROCE (daily)_lag_2,1.0172572533055899e-05
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/E (daily)_lag_3,9.765119488276733e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_NDH (daily),9.723192428422102e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_Debt/E (daily)_lag_4,9.704655935471868e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/S (daily)_lag_7,9.698409998799281e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_Debt/TTS (daily),9.52130580383094e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_ROE (daily)_lag_1,9.028645009193259e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/B (daily)_lag_5,8.885254519038322e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_P/E (daily),8.795784742786254e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_D/E (daily)_lag_3,8.634501013660057e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_P/B (daily)_lag_3,8.58719137112734e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_ROA (daily)_lag_6,8.439247416689614e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_CASH/TSNH (daily),8.420214434435873e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_GROW_TTS (daily)_lag_3,8.328040592639819e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_PT (daily)_ma_3_days,8.292167980368527e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_FI/TSNH (daily),8.239614349768252e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_ROCE (daily)_lag_2,8.131837888939254e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin (of FPT_CMG)_processed_FA_Turn (daily)_lag_3,8.094585194190217e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ (of FPT_CMG)_processed_EQ_Turn (daily)_lag_2,8.079795208620462e-06
financialreport_metrics_Nhóm ngành_Công nghệ thông tin_Phần mềm và dịch vụ_Phần mềm (of FPT_CMG)_processed_FA_Turn (daily)_lag_1,8.048595855470928e-06
